major_special_id,major_code,major_name,major_type,major_level2,major_level3,evaluation_label,is_new_quality_productivity_major,directions,confidence,score,rationale,tier1_examples,tier1_offer_count,tier1_interpretation,tier2_examples,tier2_offer_count,tier2_interpretation,tier3_examples,tier3_offer_count,tier3_interpretation,policy_source_ids,policy_evidence_excerpt,official_major_source,sample_basis,estimation_note,needs_review
121227,520101,临床医学,2,医药卫生大类,临床医学类,否,否,,low,0,未命中已抓取政策方向词、专业类规则或官方新兴候选证据,未找到该层级开设样本,0,头部/强研究型高校中未找到开设样本；当前规则未把该专业作为新质生产力核心或直接支撑。,内蒙古医科大学/内蒙古/排名572,1,区域重点/特色优势高校中有开设样本；当前更像传统专业供给，需结合具体学校特色复核。,安徽第二医学院/安徽/排名931；郑州健康学院/河南/排名1033；山东协和学院/山东/排名1092；南阳医学高等专科学校/河南；商丘医学高等专科学校/河南,14,普通应用/职业供给高校中有开设样本；当前不建议直接标为新质生产力专业。,,,教育部本科目录/备案候选：教育部关于印发《普通高等学校本科专业目录（2012年）》等文件的通知；官方专业目录：教育部关于印发《职业教育专业目录（2021年）》的通知,远程 edu_school_major 开设关系 + remote_edu_university_three_tiers_20260614.csv 三层院校分类；政策证据来自 policy_evidence_seed_20260612_v5。,未找到开设样本的层级：头部/强研究型高校；这些层级仅按专业属性和政策证据估算。,是
121228,520102,口腔医学,2,医药卫生大类,临床医学类,否,否,,low,0,未命中已抓取政策方向词、专业类规则或官方新兴候选证据,未找到该层级开设样本,0,头部/强研究型高校中未找到开设样本；当前规则未把该专业作为新质生产力核心或直接支撑。,邢台医学院/河北/排名793,1,区域重点/特色优势高校中有开设样本；当前更像传统专业供给，需结合具体学校特色复核。,商丘医学高等专科学校/河南；山东力明科技职业学院/山东；山东医学高等专科学校/山东；枣庄职业学院/山东；黔东南民族职业技术学院/贵州,5,普通应用/职业供给高校中有开设样本；当前不建议直接标为新质生产力专业。,,,教育部本科目录/备案候选：教育部关于印发《普通高等学校本科专业目录（2012年）》等文件的通知；官方专业目录：教育部关于印发《职业教育专业目录（2021年）》的通知,远程 edu_school_major 开设关系 + remote_edu_university_three_tiers_20260614.csv 三层院校分类；政策证据来自 policy_evidence_seed_20260612_v5。,未找到开设样本的层级：头部/强研究型高校；这些层级仅按专业属性和政策证据估算。,是
121229,520401,中医学,2,医药卫生大类,中医药类,否,否,,low,0,未命中已抓取政策方向词、专业类规则或官方新兴候选证据,未找到该层级开设样本,0,头部/强研究型高校中未找到开设样本；当前规则未把该专业作为新质生产力核心或直接支撑。,未找到该层级开设样本,0,区域重点/特色优势高校中未找到开设样本；当前更像传统专业供给，需结合具体学校特色复核。,南阳医学高等专科学校/河南；安徽中医药高等专科学校/安徽；山东中医药高等专科学校/山东；广西卫生职业技术学院/广西,4,普通应用/职业供给高校中有开设样本；当前不建议直接标为新质生产力专业。,,,教育部本科目录/备案候选：教育部关于印发《普通高等学校本科专业目录（2012年）》等文件的通知；官方专业目录：国务院学位委员会 教育部关于印发《研究生教育学科专业目录（2022年）》的通知,远程 edu_school_major 开设关系 + remote_edu_university_three_tiers_20260614.csv 三层院校分类；政策证据来自 policy_evidence_seed_20260612_v5。,未找到开设样本的层级：头部/强研究型高校、区域重点/特色优势高校；这些层级仅按专业属性和政策证据估算。,是
121230,520402,中医骨伤,2,医药卫生大类,中医药类,否,否,,low,0,未命中已抓取政策方向词、专业类规则或官方新兴候选证据,未找到该层级开设样本,0,头部/强研究型高校中未找到开设样本；当前规则未把该专业作为新质生产力核心或直接支撑。,未找到该层级开设样本,0,区域重点/特色优势高校中未找到开设样本；当前更像传统专业供给，需结合具体学校特色复核。,未找到该层级开设样本,0,普通应用/职业供给高校中未找到开设样本；当前不建议直接标为新质生产力专业。,,,官方专业目录：教育部关于印发《职业教育专业目录（2021年）》的通知,远程 edu_school_major 开设关系 + remote_edu_university_three_tiers_20260614.csv 三层院校分类；政策证据来自 policy_evidence_seed_20260612_v5。,未找到开设样本的层级：头部/强研究型高校、区域重点/特色优势高校、普通应用/职业供给高校；这些层级仅按专业属性和政策证据估算。,是
121231,520403,针灸推拿,2,医药卫生大类,中医药类,否,否,,low,0,未命中已抓取政策方向词、专业类规则或官方新兴候选证据,未找到该层级开设样本,0,头部/强研究型高校中未找到开设样本；当前规则未把该专业作为新质生产力核心或直接支撑。,未找到该层级开设样本,0,区域重点/特色优势高校中未找到开设样本；当前更像传统专业供给，需结合具体学校特色复核。,保山中医药高等专科学校/云南；南阳医学高等专科学校/河南；安徽中医药高等专科学校/安徽,3,普通应用/职业供给高校中有开设样本；当前不建议直接标为新质生产力专业。,,,官方专业目录：教育部关于印发《职业教育专业目录（2021年）》的通知,远程 edu_school_major 开设关系 + remote_edu_university_three_tiers_20260614.csv 三层院校分类；政策证据来自 policy_evidence_seed_20260612_v5。,未找到开设样本的层级：头部/强研究型高校、区域重点/特色优势高校；这些层级仅按专业属性和政策证据估算。,是
121232,520404,蒙医学,2,医药卫生大类,中医药类,否,否,,low,0,未命中已抓取政策方向词、专业类规则或官方新兴候选证据,未找到该层级开设样本,0,头部/强研究型高校中未找到开设样本；当前规则未把该专业作为新质生产力核心或直接支撑。,内蒙古医科大学/内蒙古/排名572,1,区域重点/特色优势高校中有开设样本；当前更像传统专业供给，需结合具体学校特色复核。,未找到该层级开设样本,0,普通应用/职业供给高校中未找到开设样本；当前不建议直接标为新质生产力专业。,,,教育部本科目录/备案候选：教育部关于印发《普通高等学校本科专业目录（2012年）》等文件的通知；官方专业目录：教育部关于印发《职业教育专业目录（2021年）》的通知,远程 edu_school_major 开设关系 + remote_edu_university_three_tiers_20260614.csv 三层院校分类；政策证据来自 policy_evidence_seed_20260612_v5。,未找到开设样本的层级：头部/强研究型高校、普通应用/职业供给高校；这些层级仅按专业属性和政策证据估算。,是
121233,520405,藏医学,2,医药卫生大类,中医药类,否,否,,low,0,未命中已抓取政策方向词、专业类规则或官方新兴候选证据,成都中医药大学/四川/排名172；青海大学/青海/排名204,2,头部/强研究型高校中有开设样本；当前规则未把该专业作为新质生产力核心或直接支撑。,西藏藏医药大学/西藏/排名877,1,区域重点/特色优势高校中有开设样本；当前更像传统专业供给，需结合具体学校特色复核。,未找到该层级开设样本,0,普通应用/职业供给高校中未找到开设样本；当前不建议直接标为新质生产力专业。,,,教育部本科目录/备案候选：教育部关于印发《普通高等学校本科专业目录（2012年）》等文件的通知；官方专业目录：教育部关于印发《职业教育专业目录（2021年）》的通知,远程 edu_school_major 开设关系 + remote_edu_university_three_tiers_20260614.csv 三层院校分类；政策证据来自 policy_evidence_seed_20260612_v5。,未找到开设样本的层级：普通应用/职业供给高校；这些层级仅按专业属性和政策证据估算。,是
121234,520406,维医学,2,医药卫生大类,中医药类,否,否,,low,0,未命中已抓取政策方向词、专业类规则或官方新兴候选证据,未找到该层级开设样本,0,头部/强研究型高校中未找到开设样本；当前规则未把该专业作为新质生产力核心或直接支撑。,新疆医科大学/新疆/排名650,1,区域重点/特色优势高校中有开设样本；当前更像传统专业供给，需结合具体学校特色复核。,未找到该层级开设样本,0,普通应用/职业供给高校中未找到开设样本；当前不建议直接标为新质生产力专业。,,,教育部本科目录/备案候选：教育部关于印发《普通高等学校本科专业目录（2012年）》等文件的通知；官方专业目录：教育部关于印发《职业教育专业目录（2021年）》的通知,远程 edu_school_major 开设关系 + remote_edu_university_three_tiers_20260614.csv 三层院校分类；政策证据来自 policy_evidence_seed_20260612_v5。,未找到开设样本的层级：头部/强研究型高校、普通应用/职业供给高校；这些层级仅按专业属性和政策证据估算。,是
121235,520407,傣医学,2,医药卫生大类,中医药类,否,否,,low,0,未命中已抓取政策方向词、专业类规则或官方新兴候选证据,未找到该层级开设样本,0,头部/强研究型高校中未找到开设样本；当前规则未把该专业作为新质生产力核心或直接支撑。,未找到该层级开设样本,0,区域重点/特色优势高校中未找到开设样本；当前更像传统专业供给，需结合具体学校特色复核。,未找到该层级开设样本,0,普通应用/职业供给高校中未找到开设样本；当前不建议直接标为新质生产力专业。,,,教育部本科目录/备案候选：教育部关于公布2019年度普通高等学校本科专业备案和审批结果及《普通高等学校本科专业目录（2020年版）》的通知；官方专业目录：教育部关于印发《职业教育专业目录（2021年）》的通知,远程 edu_school_major 开设关系 + remote_edu_university_three_tiers_20260614.csv 三层院校分类；政策证据来自 policy_evidence_seed_20260612_v5。,未找到开设样本的层级：头部/强研究型高校、区域重点/特色优势高校、普通应用/职业供给高校；这些层级仅按专业属性和政策证据估算。,是
121236,520408,哈医学,2,医药卫生大类,中医药类,否,否,,low,0,未命中已抓取政策方向词、专业类规则或官方新兴候选证据,未找到该层级开设样本,0,头部/强研究型高校中未找到开设样本；当前规则未把该专业作为新质生产力核心或直接支撑。,未找到该层级开设样本,0,区域重点/特色优势高校中未找到开设样本；当前更像传统专业供给，需结合具体学校特色复核。,未找到该层级开设样本,0,普通应用/职业供给高校中未找到开设样本；当前不建议直接标为新质生产力专业。,,,教育部本科目录/备案候选：教育部关于印发《普通高等学校本科专业目录（2012年）》等文件的通知；官方专业目录：教育部关于印发《职业教育专业目录（2021年）》的通知,远程 edu_school_major 开设关系 + remote_edu_university_three_tiers_20260614.csv 三层院校分类；政策证据来自 policy_evidence_seed_20260612_v5。,未找到开设样本的层级：头部/强研究型高校、区域重点/特色优势高校、普通应用/职业供给高校；这些层级仅按专业属性和政策证据估算。,是
