special_id,专业代码,专业名称,专业类型,门类/大类,专业类,学位,学制,软科专业排名,平均薪资,五年平均薪资,语文要求,数学要求,英语要求,物理要求,化学要求,生物要求,政治要求,历史要求,地理要求,主要求学科,整体学科画像,评分依据简述,课程介绍覆盖,专业介绍来源,新质生产力标签,新质方向,新质判断可信度,第1层开设数,第1层样例学校,第1层适配解读,第2层开设数,第2层样例学校,第2层适配解读,第3层开设数,第3层样例学校,第3层适配解读
9791,140001TK,未来机器人,本科(普通),交叉学科,,工学学士,四年,,167866.0,0.0,3,4,3,4,1,1,1,1,1,数学、物理,数理工程型：适合数学、物理基础较强，能接受建模、制图、设备或系统训练的学生。,按专业大类默认估算；专业名称/专业类显示工程物理、力电或设备系统方向；课程文本含数学/统计/算法训练；课程文本含物理、力学、电路或控制训练；电气自动化/控制类覆盖：数学、物理、控制和设备系统要求高,是,https://api.rysxai.cn/api/ry_education/profession/info/?id=1621,弱相关,future_industries,low,0,,第1层更看理论深度、科研训练和英文资料阅读，核心学科为数学、物理；适合强基础、能承受高强度抽象/实验/论文训练的学生；未匹配到开设样本；本层暂无开设样例。,0,,第2层更看学科基础与区域行业应用结合，核心学科为数学、物理；适合基础较扎实、希望进入区域产业链或特色行业平台的学生；未匹配到开设样本；本层暂无开设样例。,0,,第3层更看岗位技能落地、证书/实训和就业入口，核心学科为数学、物理；适合目标明确、愿意把学科基础转成具体操作技能的学生；未匹配到开设样本；本层暂无开设样例。
9890,140002TK,交叉工程,本科(普通),交叉学科,,工学学士,四年,,118653.0,0.0,3,4,3,4,1,1,1,1,1,数学、物理,数理工程型：适合数学、物理基础较强，能接受建模、制图、设备或系统训练的学生。,按专业大类默认估算；课程文本含数学/统计/算法训练；课程文本含物理、力学、电路或控制训练,是,https://api.rysxai.cn/api/ry_education/profession/info/?id=2189,否,,low,0,,第1层更看理论深度、科研训练和英文资料阅读，核心学科为数学、物理；适合强基础、能承受高强度抽象/实验/论文训练的学生；未匹配到开设样本；本层暂无开设样例。,0,,第2层更看学科基础与区域行业应用结合，核心学科为数学、物理；适合基础较扎实、希望进入区域产业链或特色行业平台的学生；未匹配到开设样本；本层暂无开设样例。,0,,第3层更看岗位技能落地、证书/实训和就业入口，核心学科为数学、物理；适合目标明确、愿意把学科基础转成具体操作技能的学生；未匹配到开设样本；本层暂无开设样例。
10124,140003TK,低空技术与工程,本科(普通),交叉学科,,工学学士,四年,,0.0,0.0,3,4,3,4,1,1,1,1,1,数学、物理,数理工程型：适合数学、物理基础较强，能接受建模、制图、设备或系统训练的学生。,按专业大类默认估算；课程文本含数学/统计/算法训练；课程文本含物理、力学、电路或控制训练,是,https://api.rysxai.cn/api/ry_education/profession/info/?id=2246,是,low_altitude_economy;artificial_intelligence,high,0,,第1层更看理论深度、科研训练和英文资料阅读，核心学科为数学、物理；适合强基础、能承受高强度抽象/实验/论文训练的学生；未匹配到开设样本；本层暂无开设样例。,0,,第2层更看学科基础与区域行业应用结合，核心学科为数学、物理；适合基础较扎实、希望进入区域产业链或特色行业平台的学生；未匹配到开设样本；本层暂无开设样例。,0,,第3层更看岗位技能落地、证书/实训和就业入口，核心学科为数学、物理；适合目标明确、愿意把学科基础转成具体操作技能的学生；未匹配到开设样本；本层暂无开设样例。
10125,140004TK,集成电路科学与工程,本科(普通),交叉学科,,工学学士,四年,,0.0,0.0,4,4,3,5,1,1,4,1,1,物理、语文、数学、政治,数理工程型：适合数学、物理基础较强，能接受建模、制图、设备或系统训练的学生。,按专业大类默认估算；课程文本含数学/统计/算法训练；课程文本含物理、力学、电路或控制训练；课程文本含阅读、写作、文献或沟通训练；课程文本含政治、法学或公共治理训练,是,https://api.rysxai.cn/api/ry_education/profession/info/?id=2236,是,integrated_circuit;digital_economy,high,0,,第1层更看理论深度、科研训练和英文资料阅读，核心学科为物理、语文、数学、政治；适合强基础、能承受高强度抽象/实验/论文训练的学生；未匹配到开设样本；本层暂无开设样例。,0,,第2层更看学科基础与区域行业应用结合，核心学科为物理、语文、数学、政治；适合基础较扎实、希望进入区域产业链或特色行业平台的学生；未匹配到开设样本；本层暂无开设样例。,0,,第3层更看岗位技能落地、证书/实训和就业入口，核心学科为物理、语文、数学、政治；适合目标明确、愿意把学科基础转成具体操作技能的学生；未匹配到开设样本；本层暂无开设样例。
10126,140005T,碳中和科学与工程,本科(普通),交叉学科,,工学学士,四年,,0.0,0.0,4,4,3,4,1,1,1,1,1,语文、数学、物理,数理工程型：适合数学、物理基础较强，能接受建模、制图、设备或系统训练的学生。,按专业大类默认估算；课程文本含数学/统计/算法训练；课程文本含物理、力学、电路或控制训练；课程文本含阅读、写作、文献或沟通训练,是,https://api.rysxai.cn/api/ry_education/profession/info/?id=2202,是,green_low_carbon;artificial_intelligence;digital_economy,high,0,,第1层更看理论深度、科研训练和英文资料阅读，核心学科为语文、数学、物理；适合强基础、能承受高强度抽象/实验/论文训练的学生；未匹配到开设样本；本层暂无开设样例。,0,,第2层更看学科基础与区域行业应用结合，核心学科为语文、数学、物理；适合基础较扎实、希望进入区域产业链或特色行业平台的学生；未匹配到开设样本；本层暂无开设样例。,0,,第3层更看岗位技能落地、证书/实训和就业入口，核心学科为语文、数学、物理；适合目标明确、愿意把学科基础转成具体操作技能的学生；未匹配到开设样本；本层暂无开设样例。
10127,140006T,智慧城市与空间规划,本科(普通),交叉学科,,工学学士,四年,,0.0,0.0,3,4,3,1,1,1,4,1,1,数学、政治,数量分析型：适合数学和逻辑能力较强，愿意处理模型、数据或流程优化的学生。,按专业大类默认估算；课程文本含数学/统计/算法训练；课程文本含政治、法学或公共治理训练,是,https://api.rysxai.cn/api/ry_education/profession/info/?id=2196,相关,commercial_space;artificial_intelligence;digital_economy,medium,0,,第1层更看理论深度、科研训练和英文资料阅读，核心学科为数学、政治；适合强基础、能承受高强度抽象/实验/论文训练的学生；未匹配到开设样本；本层暂无开设样例。,0,,第2层更看学科基础与区域行业应用结合，核心学科为数学、政治；适合基础较扎实、希望进入区域产业链或特色行业平台的学生；未匹配到开设样本；本层暂无开设样例。,0,,第3层更看岗位技能落地、证书/实训和就业入口，核心学科为数学、政治；适合目标明确、愿意把学科基础转成具体操作技能的学生；未匹配到开设样本；本层暂无开设样例。
8425,140007T,智能医学工程,本科(普通),交叉学科,,工学学士,四年,,65881.0,0.0,4,4,3,4,1,5,1,1,1,生物、语文、数学、物理,数理表达型：适合能兼顾数据/学科逻辑、文字表达和沟通说明的学生。,按专业大类默认估算；专业名称/专业类显示生命、医学、农业或健康方向；该方向对生命科学或医学基础要求很高；课程文本含数学/统计/算法训练；课程文本含物理、力学、电路或控制训练,是,https://api.rysxai.cn/api/ry_education/profession/info/?id=593,相关,artificial_intelligence;digital_economy,medium,0,,第1层更看理论深度、科研训练和英文资料阅读，核心学科为生物、语文、数学、物理；适合强基础、能承受高强度抽象/实验/论文训练的学生；未匹配到开设样本；本层暂无开设样例。,0,,第2层更看学科基础与区域行业应用结合，核心学科为生物、语文、数学、物理；适合基础较扎实、希望进入区域产业链或特色行业平台的学生；未匹配到开设样本；本层暂无开设样例。,0,,第3层更看岗位技能落地、证书/实训和就业入口，核心学科为生物、语文、数学、物理；适合目标明确、愿意把学科基础转成具体操作技能的学生；未匹配到开设样本；本层暂无开设样例。
8821,140008T,生物医药数据科学,本科(普通),交叉学科,,理学学士,四年,,156952.0,0.0,4,5,4,1,1,1,1,1,1,数学、语文、英语,数据/信息型：适合逻辑、数学和英文资料阅读能力较强的学生。,按专业大类默认估算；专业名称/专业类显示数学、计算、数据或智能方向；该方向对高阶数学、统计或算法要求很高；专业名称/专业类显示生命、医学、农业或健康方向；该方向对生命科学或医学基础要求很高,是,https://api.rysxai.cn/api/ry_education/profession/info/?id=1565,是,artificial_intelligence;bio_manufacturing;digital_economy,high,0,,第1层更看理论深度、科研训练和英文资料阅读，核心学科为数学、语文、英语；适合强基础、能承受高强度抽象/实验/论文训练的学生；未匹配到开设样本；本层暂无开设样例。,0,,第2层更看学科基础与区域行业应用结合，核心学科为数学、语文、英语；适合基础较扎实、希望进入区域产业链或特色行业平台的学生；未匹配到开设样本；本层暂无开设样例。,0,,第3层更看岗位技能落地、证书/实训和就业入口，核心学科为数学、语文、英语；适合目标明确、愿意把学科基础转成具体操作技能的学生；未匹配到开设样本；本层暂无开设样例。
8822,140009T,智能影像工程,本科(普通),交叉学科,,工学学士,四年,,143624.0,0.0,3,4,3,4,1,4,1,1,1,数学、物理、生物,工程应用型：适合物理和工程直觉较好，愿意做设备、工艺、运维或现场问题解决的学生。,按专业大类默认估算；课程文本含数学/统计/算法训练；课程文本含物理、力学、电路或控制训练；课程文本含生命科学或医学基础训练,是,https://api.rysxai.cn/api/ry_education/profession/info/?id=1566,相关,artificial_intelligence;digital_economy,medium,0,,第1层更看理论深度、科研训练和英文资料阅读，核心学科为数学、物理、生物；适合强基础、能承受高强度抽象/实验/论文训练的学生；未匹配到开设样本；本层暂无开设样例。,0,,第2层更看学科基础与区域行业应用结合，核心学科为数学、物理、生物；适合基础较扎实、希望进入区域产业链或特色行业平台的学生；未匹配到开设样本；本层暂无开设样例。,0,,第3层更看岗位技能落地、证书/实训和就业入口，核心学科为数学、物理、生物；适合目标明确、愿意把学科基础转成具体操作技能的学生；未匹配到开设样本；本层暂无开设样例。
9792,140010TK,医工学,本科(普通),交叉学科,,工学学士,四年,,110181.0,0.0,4,4,3,4,1,4,1,1,1,语文、数学、物理、生物,数理表达型：适合能兼顾数据/学科逻辑、文字表达和沟通说明的学生。,按专业大类默认估算；课程文本含数学/统计/算法训练；课程文本含物理、力学、电路或控制训练；课程文本含生命科学或医学基础训练；课程文本含阅读、写作、文献或沟通训练,是,https://api.rysxai.cn/api/ry_education/profession/info/?id=1622,否,,low,0,,第1层更看理论深度、科研训练和英文资料阅读，核心学科为语文、数学、物理、生物；适合强基础、能承受高强度抽象/实验/论文训练的学生；未匹配到开设样本；本层暂无开设样例。,0,,第2层更看学科基础与区域行业应用结合，核心学科为语文、数学、物理、生物；适合基础较扎实、希望进入区域产业链或特色行业平台的学生；未匹配到开设样本；本层暂无开设样例。,0,,第3层更看岗位技能落地、证书/实训和就业入口，核心学科为语文、数学、物理、生物；适合目标明确、愿意把学科基础转成具体操作技能的学生；未匹配到开设样本；本层暂无开设样例。
