special_id,专业代码,专业名称,专业类型,门类/大类,专业类,学校层级,学校层级名称,本层开设数,本层样例学校,升学适配度评分,升学适配度等级,估计平均升学/考研率区间,估计平均保研率区间,公开样本命中记录数,公开样本推免/保研记录数,公开样本覆盖年份数,公开样本年均去清北,公开样本年均去985,公开样本年均去211,公开样本年均去双一流,公开样本最佳去向举例,适配度解读,口径说明
9791,140001TK,未来机器人,本科(普通),交叉学科,,1,头部/强研究型高校,0,,32,暂无开设样本,35%-60%,10%-30%，头部强校/强专业可更高,0,0,0,0,0,0,0,,第1层未匹配到该专业开设样本，升学适配度不单独评价；可参考其他层级样本。,升学/保研率为经验估计区间；清北/985/211/双一流为本地公开抓取样本年均命中数，不等同于官方全量升学率。
9791,140001TK,未来机器人,本科(普通),交叉学科,,2,区域重点/特色优势高校,0,,32,暂无开设样本,20%-45%,2%-10%，有推免资格学校和强专业更高,0,0,0,0,0,0,0,,第2层未匹配到该专业开设样本，升学适配度不单独评价；可参考其他层级样本。,升学/保研率为经验估计区间；清北/985/211/双一流为本地公开抓取样本年均命中数，不等同于官方全量升学率。
9791,140001TK,未来机器人,本科(普通),交叉学科,,3,普通应用/职业供给高校,0,,32,暂无开设样本,8%-25%,0%-3%，多数学校无推免或名额很少,0,0,0,0,0,0,0,,第3层未匹配到该专业开设样本，升学适配度不单独评价；可参考其他层级样本。,升学/保研率为经验估计区间；清北/985/211/双一流为本地公开抓取样本年均命中数，不等同于官方全量升学率。
9890,140002TK,交叉工程,本科(普通),交叉学科,,1,头部/强研究型高校,0,,32,暂无开设样本,35%-60%,10%-30%，头部强校/强专业可更高,0,0,0,0,0,0,0,,第1层未匹配到该专业开设样本，升学适配度不单独评价；可参考其他层级样本。,升学/保研率为经验估计区间；清北/985/211/双一流为本地公开抓取样本年均命中数，不等同于官方全量升学率。
9890,140002TK,交叉工程,本科(普通),交叉学科,,2,区域重点/特色优势高校,0,,32,暂无开设样本,20%-45%,2%-10%，有推免资格学校和强专业更高,0,0,0,0,0,0,0,,第2层未匹配到该专业开设样本，升学适配度不单独评价；可参考其他层级样本。,升学/保研率为经验估计区间；清北/985/211/双一流为本地公开抓取样本年均命中数，不等同于官方全量升学率。
9890,140002TK,交叉工程,本科(普通),交叉学科,,3,普通应用/职业供给高校,0,,32,暂无开设样本,8%-25%,0%-3%，多数学校无推免或名额很少,0,0,0,0,0,0,0,,第3层未匹配到该专业开设样本，升学适配度不单独评价；可参考其他层级样本。,升学/保研率为经验估计区间；清北/985/211/双一流为本地公开抓取样本年均命中数，不等同于官方全量升学率。
10124,140003TK,低空技术与工程,本科(普通),交叉学科,,1,头部/强研究型高校,0,,32,暂无开设样本,35%-60%,10%-30%，头部强校/强专业可更高,47,3,1,0,11.00,13.00,18.00,重庆大学、北京理工大学、江苏大学、南京邮电大学、北京工业大学、西安科技大学,第1层未匹配到该专业开设样本，升学适配度不单独评价；可参考其他层级样本。,升学/保研率为经验估计区间；清北/985/211/双一流为本地公开抓取样本年均命中数，不等同于官方全量升学率。
10124,140003TK,低空技术与工程,本科(普通),交叉学科,,2,区域重点/特色优势高校,0,,32,暂无开设样本,20%-45%,2%-10%，有推免资格学校和强专业更高,47,3,1,0,11.00,13.00,18.00,重庆大学、北京理工大学、江苏大学、南京邮电大学、北京工业大学、西安科技大学,第2层未匹配到该专业开设样本，升学适配度不单独评价；可参考其他层级样本。,升学/保研率为经验估计区间；清北/985/211/双一流为本地公开抓取样本年均命中数，不等同于官方全量升学率。
10124,140003TK,低空技术与工程,本科(普通),交叉学科,,3,普通应用/职业供给高校,0,,32,暂无开设样本,8%-25%,0%-3%，多数学校无推免或名额很少,47,3,1,0,11.00,13.00,18.00,重庆大学、北京理工大学、江苏大学、南京邮电大学、北京工业大学、西安科技大学,第3层未匹配到该专业开设样本，升学适配度不单独评价；可参考其他层级样本。,升学/保研率为经验估计区间；清北/985/211/双一流为本地公开抓取样本年均命中数，不等同于官方全量升学率。
10125,140004TK,集成电路科学与工程,本科(普通),交叉学科,,1,头部/强研究型高校,0,,32,暂无开设样本,35%-60%,10%-30%，头部强校/强专业可更高,284,127,3,17.67,39.33,57.33,61.33,北京大学、华中科技大学、华东师范大学、西北工业大学、华东理工大学、北京邮电大学,第1层未匹配到该专业开设样本，升学适配度不单独评价；可参考其他层级样本。,升学/保研率为经验估计区间；清北/985/211/双一流为本地公开抓取样本年均命中数，不等同于官方全量升学率。
10125,140004TK,集成电路科学与工程,本科(普通),交叉学科,,2,区域重点/特色优势高校,0,,32,暂无开设样本,20%-45%,2%-10%，有推免资格学校和强专业更高,284,127,3,17.67,39.33,57.33,61.33,北京大学、华中科技大学、华东师范大学、西北工业大学、华东理工大学、北京邮电大学,第2层未匹配到该专业开设样本，升学适配度不单独评价；可参考其他层级样本。,升学/保研率为经验估计区间；清北/985/211/双一流为本地公开抓取样本年均命中数，不等同于官方全量升学率。
10125,140004TK,集成电路科学与工程,本科(普通),交叉学科,,3,普通应用/职业供给高校,0,,32,暂无开设样本,8%-25%,0%-3%，多数学校无推免或名额很少,284,127,3,17.67,39.33,57.33,61.33,北京大学、华中科技大学、华东师范大学、西北工业大学、华东理工大学、北京邮电大学,第3层未匹配到该专业开设样本，升学适配度不单独评价；可参考其他层级样本。,升学/保研率为经验估计区间；清北/985/211/双一流为本地公开抓取样本年均命中数，不等同于官方全量升学率。
10126,140005T,碳中和科学与工程,本科(普通),交叉学科,,1,头部/强研究型高校,0,,32,暂无开设样本,35%-60%,10%-30%，头部强校/强专业可更高,0,0,0,0,0,0,0,,第1层未匹配到该专业开设样本，升学适配度不单独评价；可参考其他层级样本。,升学/保研率为经验估计区间；清北/985/211/双一流为本地公开抓取样本年均命中数，不等同于官方全量升学率。
10126,140005T,碳中和科学与工程,本科(普通),交叉学科,,2,区域重点/特色优势高校,0,,32,暂无开设样本,20%-45%,2%-10%，有推免资格学校和强专业更高,0,0,0,0,0,0,0,,第2层未匹配到该专业开设样本，升学适配度不单独评价；可参考其他层级样本。,升学/保研率为经验估计区间；清北/985/211/双一流为本地公开抓取样本年均命中数，不等同于官方全量升学率。
10126,140005T,碳中和科学与工程,本科(普通),交叉学科,,3,普通应用/职业供给高校,0,,32,暂无开设样本,8%-25%,0%-3%，多数学校无推免或名额很少,0,0,0,0,0,0,0,,第3层未匹配到该专业开设样本，升学适配度不单独评价；可参考其他层级样本。,升学/保研率为经验估计区间；清北/985/211/双一流为本地公开抓取样本年均命中数，不等同于官方全量升学率。
10127,140006T,智慧城市与空间规划,本科(普通),交叉学科,,1,头部/强研究型高校,0,,32,暂无开设样本,35%-60%,10%-30%，头部强校/强专业可更高,0,0,0,0,0,0,0,,第1层未匹配到该专业开设样本，升学适配度不单独评价；可参考其他层级样本。,升学/保研率为经验估计区间；清北/985/211/双一流为本地公开抓取样本年均命中数，不等同于官方全量升学率。
10127,140006T,智慧城市与空间规划,本科(普通),交叉学科,,2,区域重点/特色优势高校,0,,32,暂无开设样本,20%-45%,2%-10%，有推免资格学校和强专业更高,0,0,0,0,0,0,0,,第2层未匹配到该专业开设样本，升学适配度不单独评价；可参考其他层级样本。,升学/保研率为经验估计区间；清北/985/211/双一流为本地公开抓取样本年均命中数，不等同于官方全量升学率。
10127,140006T,智慧城市与空间规划,本科(普通),交叉学科,,3,普通应用/职业供给高校,0,,32,暂无开设样本,8%-25%,0%-3%，多数学校无推免或名额很少,0,0,0,0,0,0,0,,第3层未匹配到该专业开设样本，升学适配度不单独评价；可参考其他层级样本。,升学/保研率为经验估计区间；清北/985/211/双一流为本地公开抓取样本年均命中数，不等同于官方全量升学率。
8425,140007T,智能医学工程,本科(普通),交叉学科,,1,头部/强研究型高校,0,,32,暂无开设样本,35%-60%,10%-30%，头部强校/强专业可更高,6,6,1,0,0,0,6.00,天津工业大学,第1层未匹配到该专业开设样本，升学适配度不单独评价；可参考其他层级样本。,升学/保研率为经验估计区间；清北/985/211/双一流为本地公开抓取样本年均命中数，不等同于官方全量升学率。
8425,140007T,智能医学工程,本科(普通),交叉学科,,2,区域重点/特色优势高校,0,,32,暂无开设样本,20%-45%,2%-10%，有推免资格学校和强专业更高,6,6,1,0,0,0,6.00,天津工业大学,第2层未匹配到该专业开设样本，升学适配度不单独评价；可参考其他层级样本。,升学/保研率为经验估计区间；清北/985/211/双一流为本地公开抓取样本年均命中数，不等同于官方全量升学率。
