major_code,major_name,major_level,degree,limit_year,level2_name,level3_name,core_courses_estimated,course_basis,data_note,tier1_school_examples,tier1_course_focus,tier2_school_examples,tier2_course_focus,tier3_school_examples,tier3_course_focus
010101,哲学,本科(普通),哲学学士,四年,哲学,哲学类,哲学导论、史学通论、中国哲学史、西方哲学史、欧洲哲学史、德国古典哲学、初等逻辑、现代逻辑、一阶逻辑、中外逻辑史,rysxai_major_course,,清华大学、北京大学、浙江大学、复旦大学、南京大学,头部/强研究型：核心课不一定换名称，但会加深数学/理论和研究训练，重点看理论深度、科研训练、交叉前沿、学术写作；样例：清华大学、北京大学、浙江大学、复旦大学、南京大学,浙江工商大学、山东师范大学、青岛大学、湖北大学、上海师范大学,区域重点/特色优势：核心课保持完整，通常叠加地方产业、行业场景、实验项目和专业方向模块；样例：浙江工商大学、山东师范大学、青岛大学、湖北大学、上海师范大学,梧州学院、北海艺术设计学院,普通应用/职业供给：更强调岗位技能、项目实训、证书衔接、综合实践，课程呈现更实训化、工具化；样例：梧州学院、北海艺术设计学院
010102,逻辑学,本科(普通),哲学学士,四年,哲学,哲学类,普通逻辑学、哲学导论、逻辑学、马克思主义哲学、中国哲学史、西方哲学史、伦理学、宗教学、哲学原著选读,rysxai_major_course+category_template,,中山大学、南开大学,头部/强研究型：核心课不一定换名称，但会加深数学/理论和研究训练，重点看理论深度、科研训练、交叉前沿、学术写作；样例：中山大学、南开大学,库内未命中,区域重点/特色优势：核心课保持完整，通常叠加地方产业、行业场景、实验项目和专业方向模块；样例：库内未命中该层次开设样例,库内未命中,普通应用/职业供给：更强调岗位技能、项目实训、证书衔接、综合实践，课程呈现更实训化、工具化；样例：库内未命中该层次开设样例
010103K,宗教学,本科(普通),哲学学士,四年,哲学,哲学类,宗教学、马克思主义宗教学、印度佛教经典选读、道教原典、圣经神学、基督教原典、宗教哲学专题、儒学哲学专题、中国伊斯兰教史、基督教专题,rysxai_major_course,,北京大学、复旦大学、武汉大学、中国人民大学、山东大学,头部/强研究型：核心课不一定换名称，但会加深数学/理论和研究训练，重点看理论深度、科研训练、交叉前沿、学术写作；样例：北京大学、复旦大学、武汉大学、中国人民大学、山东大学,新疆师范大学、圣若瑟大学,区域重点/特色优势：核心课保持完整，通常叠加地方产业、行业场景、实验项目和专业方向模块；样例：新疆师范大学、圣若瑟大学,库内未命中,普通应用/职业供给：更强调岗位技能、项目实训、证书衔接、综合实践，课程呈现更实训化、工具化；样例：库内未命中该层次开设样例
010104T,伦理学,本科(普通),哲学学士,四年,哲学,哲学类,哲学概论、逻辑学、中国哲学史、西方哲学史、伦理学原理、中国伦理学史、西方伦理学史、应用伦理学、伦理案例分析实训、社会伦理调查,rysxai_major_course,,中国人民大学、山西大学,头部/强研究型：核心课不一定换名称，但会加深数学/理论和研究训练，重点看理论深度、科研训练、交叉前沿、学术写作；样例：中国人民大学、山西大学,库内未命中,区域重点/特色优势：核心课保持完整，通常叠加地方产业、行业场景、实验项目和专业方向模块；样例：库内未命中该层次开设样例,库内未命中,普通应用/职业供给：更强调岗位技能、项目实训、证书衔接、综合实践，课程呈现更实训化、工具化；样例：库内未命中该层次开设样例
020101,经济学,本科(普通),经济学学士,四年,经济学,经济学类,初级经济学、微观经济学、宏观经济学、西方经济学、政治经济学、资本论、经济思想史、经济学史、中国经济学史、外国近现代经济史,rysxai_major_course,,清华大学、北京大学、浙江大学、上海交通大学、复旦大学,头部/强研究型：核心课不一定换名称，但会加深数学/理论和研究训练，重点看高级微宏观、计量建模、政策评估、数据实证；样例：清华大学、北京大学、浙江大学、上海交通大学、复旦大学,江西财经大学、浙江工商大学、西交利物浦大学、山东师范大学、广州大学,区域重点/特色优势：核心课保持完整，通常叠加地方产业、行业场景、实验项目和专业方向模块；样例：江西财经大学、浙江工商大学、西交利物浦大学、山东师范大学、广州大学,许昌学院、商丘师范学院、河南工程学院、济宁学院、渭南师范学院,普通应用/职业供给：更强调Excel/统计软件、业务流程、案例实训、岗位证书，课程呈现更实训化、工具化；样例：许昌学院、商丘师范学院、河南工程学院、济宁学院、渭南师范学院
020102,经济统计学,本科(普通),经济学学士,四年,经济学,经济学类,数学分析、概率论与数理统计、西方经济学、宏观经济学、统计学导论、统计学原理、统计学、经济统计学、计量经济学、统计建模,rysxai_major_course,,华中科技大学、西安交通大学、北京航空航天大学、中国人民大学、厦门大学,头部/强研究型：核心课不一定换名称，但会加深数学/理论和研究训练，重点看高级微宏观、计量建模、政策评估、数据实证；样例：华中科技大学、西安交通大学、北京航空航天大学、中国人民大学、厦门大学,江西财经大学、浙江工商大学、首都经济贸易大学、北京工商大学、南京财经大学,区域重点/特色优势：核心课保持完整，通常叠加地方产业、行业场景、实验项目和专业方向模块；样例：江西财经大学、浙江工商大学、首都经济贸易大学、北京工商大学、南京财经大学,六盘水师范学院、武汉商学院、黄山学院、安顺学院、新余学院,普通应用/职业供给：更强调Excel/统计软件、业务流程、案例实训、岗位证书，课程呈现更实训化、工具化；样例：六盘水师范学院、武汉商学院、黄山学院、安顺学院、新余学院
020103T,国民经济管理,本科(普通),经济学学士,四年,经济学,经济学类,国民经济核算概论、国际经济、国际金融理论与制度、宏观理论、产业政策、政府管制等、国民经济管理学、产业经济管理、管制经济学、税收的微观经济分析,rysxai_major_course,,四川大学、中国人民大学、中国人民大学(苏州校区)、中央财经大学、辽宁大学,头部/强研究型：核心课不一定换名称，但会加深数学/理论和研究训练，重点看高级微宏观、计量建模、政策评估、数据实证；样例：四川大学、中国人民大学、中国人民大学(苏州校区)、中央财经大学、辽宁大学,江西财经大学、安徽财经大学、山西财经大学,区域重点/特色优势：核心课保持完整，通常叠加地方产业、行业场景、实验项目和专业方向模块；样例：江西财经大学、安徽财经大学、山西财经大学,库内未命中,普通应用/职业供给：更强调Excel/统计软件、业务流程、案例实训、岗位证书，课程呈现更实训化、工具化；样例：库内未命中该层次开设样例
020104T,资源与环境经济学,本科(普通),经济学学士,四年,经济学,经济学类,资源与环境经济学、资源与经济、微观经济学、宏观经济学、政治经济学、计量经济学、统计学、财政学、金融学、发展经济学,rysxai_major_course+category_template,,中国人民大学,头部/强研究型：核心课不一定换名称，但会加深数学/理论和研究训练，重点看高级微宏观、计量建模、政策评估、数据实证；样例：中国人民大学,江西财经大学、山东财经大学、山西财经大学、内蒙古工业大学、湖北经济学院,区域重点/特色优势：核心课保持完整，通常叠加地方产业、行业场景、实验项目和专业方向模块；样例：江西财经大学、山东财经大学、山西财经大学、内蒙古工业大学、湖北经济学院,山西工程技术学院、山西工商学院、合肥经济学院,普通应用/职业供给：更强调Excel/统计软件、业务流程、案例实训、岗位证书，课程呈现更实训化、工具化；样例：山西工程技术学院、山西工商学院、合肥经济学院
020105T,商务经济学,本科(普通),经济学学士,四年,经济学,经济学类,微观经济学、宏观经济学、商务经济学、政治经济学、计量经济学、统计学、财政学、金融学、发展经济学,rysxai_major_course+category_template,,南开大学、海南大学,头部/强研究型：核心课不一定换名称，但会加深数学/理论和研究训练，重点看高级微宏观、计量建模、政策评估、数据实证；样例：南开大学、海南大学,福建农林大学、湖北经济学院、兰州财经大学、上海商学院、广西财经学院,区域重点/特色优势：核心课保持完整，通常叠加地方产业、行业场景、实验项目和专业方向模块；样例：福建农林大学、湖北经济学院、兰州财经大学、上海商学院、广西财经学院,重庆第二师范学院、黄淮学院、武汉商学院、新乡学院、忻州师范学院,普通应用/职业供给：更强调Excel/统计软件、业务流程、案例实训、岗位证书，课程呈现更实训化、工具化；样例：重庆第二师范学院、黄淮学院、武汉商学院、新乡学院、忻州师范学院
020106T,能源经济,本科(普通),经济学学士,四年,经济学,经济学类,微积分、政治经济学、宏观经济学、微观经济学、能源经济学概论、自然资源与环境经济学、计量经济学、能源市场与价格、气候变化经济学、能源项目投资管理,rysxai_major_course,,北京航空航天大学、中国人民大学、重庆大学、中国石油大学(北京)、江苏大学,头部/强研究型：核心课不一定换名称，但会加深数学/理论和研究训练，重点看高级微宏观、计量建模、政策评估、数据实证；样例：北京航空航天大学、中国人民大学、重庆大学、中国石油大学(北京)、江苏大学,湖北工业大学、山西财经大学、河南财经政法大学、内蒙古财经大学、山东工商学院,区域重点/特色优势：核心课保持完整，通常叠加地方产业、行业场景、实验项目和专业方向模块；样例：湖北工业大学、山西财经大学、河南财经政法大学、内蒙古财经大学、山东工商学院,江苏大学京江学院、西安明德理工学院、银川能源学院,普通应用/职业供给：更强调Excel/统计软件、业务流程、案例实训、岗位证书，课程呈现更实训化、工具化；样例：江苏大学京江学院、西安明德理工学院、银川能源学院
