university_tier,university_tier_name,major_code,major_name,major_type,tier_adjusted_risk_label,tier_adjusted_risk_score,base_risk_label,base_risk_score,base_risk_reasons,positive_reasons,tier_adjustment_reason
1,头部/强研究型高校,030101K,法学,本科(普通),高危,84,高危,94,就业红牌信号（红牌次数约1）；官方停招/撤销/预警记录较多（54条）；master index 标记为 high_risk_review,AI替代风险较低（较低）；招聘市场需求中等；薪资信号较强,头部/强研究型高校的品牌、升学和平台资源可缓冲就业风险；但存在红黄牌或官方风险信号，缓冲幅度收窄
1,头部/强研究型高校,120401,公共事业管理,本科(普通),高危,90,高危,100,就业红牌信号（红牌次数约1）；官方停招/撤销/预警记录较多（249条）；master index 标记为 high_risk_review；招聘市场需求信号有限,AI替代风险较低（较低）；公职岗位匹配high,头部/强研究型高校的品牌、升学和平台资源可缓冲就业风险；但存在红黄牌或官方风险信号，缓冲幅度收窄
1,头部/强研究型高校,040104,教育技术学,本科(普通),高危,80,高危,90,就业红牌信号（红牌次数约1）；官方停招/撤销/预警记录较多（102条）；master index 标记为 high_risk_review,AI替代风险较低（较低）；公职岗位匹配medium；新质生产力弱相关方向,头部/强研究型高校的品牌、升学和平台资源可缓冲就业风险；但存在红黄牌或官方风险信号，缓冲幅度收窄
1,头部/强研究型高校,130413TK,美术教育,本科(普通),高危,77,高危,87,就业红牌信号（红牌次数约1）；master index 标记为 high_risk_review；招聘市场需求信号有限；公职/编制岗位匹配较弱,AI替代风险较低（较低）,头部/强研究型高校的品牌、升学和平台资源可缓冲就业风险；但存在红黄牌或官方风险信号，缓冲幅度收窄
1,头部/强研究型高校,040107,小学教育,本科(普通),高危,70,高危,80,就业红牌信号（红牌次数约1）；存在多条官方专业设置风险记录（14条）；master index 标记为 high_risk_review,AI替代风险较低（较低）；招聘市场需求较强；公职岗位匹配medium,头部/强研究型高校的品牌、升学和平台资源可缓冲就业风险；但存在红黄牌或官方风险信号，缓冲幅度收窄
1,头部/强研究型高校,071002,生物技术,本科(普通),风险观察,63,高危,73,就业红牌信号（红牌次数约1）；官方停招/撤销/预警记录较多（90条）；master index 标记为 high_risk_review,AI替代风险较低（较低）；招聘市场需求中等；薪资信号较强；公职岗位匹配medium；新质生产力核心方向,头部/强研究型高校的品牌、升学和平台资源可缓冲就业风险；但存在红黄牌或官方风险信号，缓冲幅度收窄
1,头部/强研究型高校,120403,劳动与社会保障,本科(普通),风险观察,69,高危,79,官方停招/撤销/预警记录较多（47条）；master index 标记为 high_risk_review；招聘市场需求信号有限；薪资信号偏弱,AI替代风险较低（较低）,头部/强研究型高校的品牌、升学和平台资源可缓冲就业风险；但存在红黄牌或官方风险信号，缓冲幅度收窄
1,头部/强研究型高校,130308,录音艺术,本科(普通),风险观察,69,高危,79,存在多条官方专业设置风险记录（5条）；master index 标记为 high_risk_review；AI替代风险中等（中等）；招聘市场需求信号有限；薪资信号偏弱；公职/编制岗位匹配较弱,新质生产力弱相关方向,头部/强研究型高校的品牌、升学和平台资源可缓冲就业风险；但存在红黄牌或官方风险信号，缓冲幅度收窄
1,头部/强研究型高校,120210,文化产业管理,本科(普通),风险观察,69,高危,79,官方停招/撤销/预警记录较多（61条）；master index 标记为 high_risk_review；AI替代风险中等（中等）；招聘市场需求信号有限,公职岗位匹配high,头部/强研究型高校的品牌、升学和平台资源可缓冲就业风险；但存在红黄牌或官方风险信号，缓冲幅度收窄
1,头部/强研究型高校,050212,印度尼西亚语,本科(普通),风险观察,68,高危,78,存在多条官方专业设置风险记录（5条）；master index 标记为 high_risk_review；AI替代风险中等（中等）；招聘市场需求信号有限；公职/编制岗位匹配较弱,暂无明确机会型抵消信号,头部/强研究型高校的品牌、升学和平台资源可缓冲就业风险；但存在红黄牌或官方风险信号，缓冲幅度收窄
1,头部/强研究型高校,080503T,新能源科学与工程,本科(普通),相对稳健/机会型,9,相对稳健/机会型,19,历史就业预警记录3条；存在官方专业设置风险记录（4条）；master index 标记为就业/政策预警复核,有就业绿牌/稳健就业信号；AI替代风险较低（较低）；招聘市场需求中等；公职岗位匹配medium；新质生产力核心方向,头部/强研究型高校的品牌、升学和平台资源可缓冲就业风险；但存在红黄牌或官方风险信号，缓冲幅度收窄
1,头部/强研究型高校,270201,应用化工技术,本科(职业),相对稳健/机会型,9,相对稳健/机会型,24,历史就业预警记录8条；机会信号同时带风险标记；薪资信号偏弱,有就业绿牌/稳健就业信号；AI替代风险较低（较低）；招聘市场需求较强；新质生产力弱相关方向,头部/强研究型高校的品牌、升学和平台资源可缓冲就业风险
1,头部/强研究型高校,260303,智能控制技术,本科(职业),相对稳健/机会型,0,相对稳健/机会型,0,历史就业预警记录2条,有就业绿牌/稳健就业信号；AI替代风险较低（较低）；招聘市场需求很强；公职岗位匹配high；新质生产力核心方向,头部/强研究型高校的品牌、升学和平台资源可缓冲就业风险
